datetime,pm25,unit
2025-11-27 15:00:00+00:00,3.858888886372248,µg/m³
2025-11-27 16:00:00+00:00,4.400500005980333,µg/m³
2025-11-27 17:00:00+00:00,0.34155555698606704,µg/m³
2025-11-27 18:00:00+00:00,6.114000004529952,µg/m³
2025-11-27 19:00:00+00:00,2.5376666903495786,µg/m³
2025-11-27 20:00:00+00:00,7.236333338419595,µg/m³
2025-11-27 21:00:00+00:00,17.921249961853025,µg/m³
2025-11-27 22:00:00+00:00,8.346833326419192,µg/m³
2025-11-27 23:00:00+00:00,7.840999991695086,µg/m³
2025-11-28 00:00:00+00:00,2.6755000054836273,µg/m³
2025-11-28 01:00:00+00:00,5.860999997456869,µg/m³
2025-11-28 02:00:00+00:00,5.111166672905286,µg/m³
2025-11-28 03:00:00+00:00,3.465999998648961,µg/m³
2025-11-28 04:00:00+00:00,3.4388333290815347,µg/m³
2025-11-28 05:00:00+00:00,1.3136666662991046,µg/m³
2025-11-28 06:00:00+00:00,1.8063750096907218,µg/m³
2025-11-28 07:00:00+00:00,3.080500002702077,µg/m³
2025-11-28 08:00:00+00:00,4.244083325068156,µg/m³
2025-11-28 09:00:00+00:00,11.323555554283992,µg/m³
2025-11-28 10:00:00+00:00,5.380166660745939,µg/m³
2025-11-28 11:00:00+00:00,4.890999984741211,µg/m³
2025-11-28 12:00:00+00:00,4.822166665395101,µg/m³
2025-11-28 13:00:00+00:00,5.080499998728435,µg/m³
2025-11-28 14:00:00+00:00,4.547833347320557,µg/m³
2025-11-28 15:00:00+00:00,6.564166673024496,µg/m³
2025-11-28 16:00:00+00:00,9.64949998855591,µg/m³
2025-11-28 17:00:00+00:00,17.552833334604898,µg/m³
2025-11-28 18:00:00+00:00,24.147333335876468,µg/m³
2025-11-28 19:00:00+00:00,25.125000000000004,µg/m³
2025-11-28 20:00:00+00:00,10.221833324432373,µg/m³
2025-11-28 21:00:00+00:00,12.424666659037271,µg/m³
2025-11-28 22:00:00+00:00,16.568291656176246,µg/m³
2025-11-28 23:00:00+00:00,14.702999973297118,µg/m³
2025-11-29 00:00:00+00:00,9.186333370208741,µg/m³
2025-11-29 01:00:00+00:00,17.31066672007243,µg/m³
2025-11-29 02:00:00+00:00,20.344666671752933,µg/m³
2025-11-29 03:00:00+00:00,8.591500027974446,µg/m³
2025-11-29 04:00:00+00:00,6.752833334604898,µg/m³
2025-11-29 05:00:00+00:00,3.055833334227403,µg/m³
2025-11-29 06:00:00+00:00,4.536166669925054,µg/m³
2025-11-29 07:00:00+00:00,5.935666656494141,µg/m³
2025-11-29 08:00:00+00:00,14.522541658083597,µg/m³
2025-11-29 09:00:00+00:00,20.339500013987223,µg/m³
2025-11-29 10:00:00+00:00,20.158999983469645,µg/m³
2025-11-29 11:00:00+00:00,20.736666679382324,µg/m³
2025-11-29 12:00:00+00:00,15.938499991099041,µg/m³
2025-11-29 13:00:00+00:00,11.508500003814696,µg/m³
2025-11-29 14:00:00+00:00,15.47800000508626,µg/m³
2025-11-29 15:00:00+00:00,26.35883328119914,µg/m³
2025-11-29 16:00:00+00:00,30.964833196004232,µg/m³
2025-11-29 17:00:00+00:00,33.99700015385946,µg/m³
2025-11-29 18:00:00+00:00,33.13933324813843,µg/m³
2025-11-29 19:00:00+00:00,38.394666544596355,µg/m³
